,Actor_id,actors
0,1,Joel David Moore
1,2,CCH Pounder
2,3,Wes Studi
3,4,Orlando Bloom
4,5,Johnny Depp
5,6,Jack Davenport
6,7,Rory Kinnear
7,8,Christoph Waltz
8,9,Stephanie Sigman
9,10,Christian Bale
10,11,Tom Hardy
11,12,Joseph Gordon-Levitt
12,13,Rob Walker
13,14,Doug Walker
14,15,
15,16,Samantha Morton
16,17,Daryl Sabara
17,18,Polly Walker
18,19,Donna Murphy
19,20,Brad Garrett
20,21,M.C. Gainey
21,22,Robert Downey Jr.
22,23,Chris Hemsworth
23,24,Scarlett Johansson
24,25,Daniel Radcliffe
25,26,Alan Rickman
26,27,Rupert Grint
27,28,Lauren Cohan
28,29,Henry Cavill
29,30,Alan D. Purwin
30,31,Marlon Brando
31,32,Kevin Spacey
32,33,Frank Langella
33,34,Mathieu Amalric
34,35,Giancarlo Giannini
35,36,Ruth Wilson
36,37,Tom Wilkinson
37,38,Christopher Meloni
38,39,Harry Lennix
39,40,Pierfrancesco Favino
40,41,Peter Dinklage
41,42,Damián Alcázar
42,43,Sam Claflin
43,44,Stephen Graham
44,45,Michael Stuhlbarg
45,46,Will Smith
46,47,Nicole Scherzinger
47,48,Adam Brown
48,49,Aidan Turner
49,50,James Nesbitt
50,51,Andrew Garfield
51,52,Emma Stone
52,53,Chris Zylka
53,54,William Hurt
54,55,Mark Addy
55,56,Scott Grimes
56,57,Eva Green
57,58,Christopher Lee
58,59,Kristin Scott Thomas
59,60,Kate Winslet
60,61,Leonardo DiCaprio
61,62,Gloria Stuart
62,63,Chris Evans
63,64,Alexander Skarsgård
64,65,Liam Neeson
65,66,Tadanobu Asano
66,67,Judy Greer
67,68,Bryce Dallas Howard
68,69,Omar Sy
69,70,James Franco
70,71,J.K. Simmons
71,72,Kirsten Dunst
72,73,Jon Favreau
73,74,Don Cheadle
74,75,Kelsey Grammer
75,76,Hugh Jackman
76,77,Daniel Cudmore
77,78,Tyler Labine
78,79,Steve Buscemi
79,80,Sean Hayes
80,81,Kevin Dunn
81,82,Glenn Morshower
82,83,Ramon Rodriguez
83,84,Sophia Myles
84,85,Bingbing Li
85,86,B.J. Novak
86,87,Thomas Kretschmann
87,88,Joe Mantegna
88,89,Eddie Izzard
89,90,Temuera Morrison
90,91,Ryan Reynolds
91,92,Taika Waititi
92,93,John Ratzenberger
93,94,Tom Hanks
94,95,Don Rickles
95,96,Common
96,97,Paul Walker
97,98,Jason Statham
98,99,Vin Diesel
99,100,Brad Pitt
100,101,Peter Capaldi
101,102,Mireille Enos
102,103,Jennifer Lawrence
103,104,Bruce Greenwood
104,105,Benedict Cumberbatch
105,106,Noel Clarke
106,107,Ewen Bremner
107,108,Eddie Marsan
108,109,Ralph Brown
109,110,Richard Coyle
110,111,Jake Gyllenhaal
111,112,Reece Ritchie
112,113,Clifton Collins Jr.
113,114,Charlie Hunnam
114,115,Larry Joe Campbell
115,116,Lester Speight
116,117,Ray Winstone
117,118,Harrison Ford
118,119,Jim Broadbent
119,120,Jack McGraw
120,121,A.J. Buckley
121,122,Peter Sohn
122,123,Kelly Macdonald
123,124,Julie Walters
124,125,Melissa Roxburgh
125,126,Sofia Boutella
126,127,Lydia Wilson
127,128,Fred Willard
128,129,Jeff Garlin
129,130,Dana Ivey
130,131,Tzi Ma
131,132,Noémie Lenoir
132,133,Liam James
133,134,Oliver Platt
134,135,Tom McCarthy
135,136,Colin Firth
136,137,Robin Wright
137,138,Gary Oldman
138,139,Mila Kunis
139,140,Channing Tatum
140,141,Eddie Redmayne
141,142,Kiran Shah
142,143,Shane Rangi
143,144,Michael Fassbender
144,145,Tye Sheridan
145,146,Heath Ledger
146,147,Morgan Freeman
147,148,Delroy Lindo
148,149,Jess Harnell
149,150,Rainn Wilson
150,151,Amy Poehler
151,152,Stephen Colbert
152,153,Jeff Bridges
153,154,Chloë Grace Moretz
154,155,Salma Hayek
155,156,Bai Ling
156,157,Brendan Fraser
157,158,Jet Li
158,159,Russell Wong
159,160,Robin Atkin Downes
160,161,Ike Barinholtz
161,162,Jimmy Bennett
162,163,Steve Carell
163,164,Lara Pulver
164,165,Tom Cruise
165,166,Noah Taylor
166,167,Rick Aviles
167,168,Jeanne Tripplehorn
168,169,Zakes Mokae
169,170,Dennis Quaid
170,171,Leo Howard
171,172,Mindy Kaling
172,173,Phyllis Smith
173,174,Kristen Stewart
174,175,Sharlto Copley
175,176,Angelina Jolie Pitt
176,177,Sam Riley
177,178,Kodi Smit-McPhee
178,179,Cary-Hiroyuki Tagawa
179,180,Keanu Reeves
180,181,Jin Akanishi
181,182,Hayley Atwell
182,183,Kathy Griffin
183,184,Jon Hamm
184,185,Mary Kay Place
185,186,Chris Bauer
186,187,Thomas Robinson
187,188,Daniel Henney
188,189,Damon Wayans Jr.
189,190,Abraham Benrubi
190,191,Sarah Silverman
191,192,Jack McBrayer
192,193,Joe Lo Truglio
193,194,Eddie Deezen
194,195,Peter Scolari
195,196,Sela Ward
196,197,Vivica A. Fox
197,198,Judd Hirsch
198,199,America Ferrera
199,200,Gerard Butler
200,201,Craig Ferguson
201,202,Nick Stahl
202,203,Carolyn Hennesy
203,204,Bradley Cooper
204,205,Djimon Hounsou
205,206,Anne Hathaway
206,207,Matthew McConaughey
207,208,Mackenzie Foy
208,209,Jason Flemyng
209,210,Julia Ormond
210,211,Philip Seymour Hoffman
211,212,Josh Hutcherson
212,213,Omar Benson Miller
213,214,Nicolas Cage
214,215,Robert Capron
215,216,Mike Vogel
216,217,Andre Braugher
217,218,Eric Idle
218,219,Justin Timberlake
219,220,Rupert Everett
220,221,Callum Rennie
221,222,Dominic Cooper
222,223,Ruth Negga
223,224,Emilia Clarke
224,225,Matt Smith
225,226,Bruce Spence
226,227,Laura Brent
227,228,Jaime King
228,229,Jennifer Garner
229,230,Mako
230,231,Michael O'Neill
231,232,Zack Ward
232,233,Anthony Hopkins
233,234,Brian Blessed
234,235,Robert Pattinson
235,236,Fiona Shaw
236,237,Charlize Theron
237,238,Alice Braga
238,239,Willow Smith
239,240,David Kelly
240,241,Janeane Garofalo
241,242,Brian Dennehy
242,243,Jada Pinkett Smith
243,244,Bernie Mac
244,245,Cedric the Entertainer
245,246,Rami Malek
246,247,Robin Williams
247,248,Steve Coogan
248,249,Dominic Monaghan
249,250,Collin Chou
250,251,Essie Davis
251,252,Nona Gaye
252,253,Maurice LaMarche
253,254,Josh Gad
254,255,Livvy Stubenrauch
255,256,Daniel Bernhardt
256,257,Steve Bastoni
257,258,Helmut Bakaitis
258,259,Natalie Portman
259,260,Zoë Kravitz
260,261,Ayelet Zurer
261,262,Armin Mueller-Stahl
262,263,Diedrich Bader
263,264,James Lipton
264,265,Piper Mackenzie Harris
265,266,Kelli Garner
266,267,Niecy Nash
267,268,Edgar Ramírez
268,269,Lily James
269,270,Jeremy Renner
270,271,Sean Harris
271,272,Simon Merrells
272,273,Art Malik
273,274,Casper Crump
274,275,Oprah Winfrey
275,276,Matthew Broderick
276,277,Rip Torn
277,278,Mike Bell
278,279,Noah Ringer
279,280,Seychelle Gabriel
280,281,Aasif Mandvi
281,282,Jake Weber
282,283,Matt Craven
283,284,Dan Fogler
284,285,Elisabeth Harnois
285,286,Tom Everett Scott
286,287,David Suchet
287,288,Zach Callison
288,289,Ty Burrell
289,290,Karan Brar
290,291,Julian Glover
291,292,Martin Short
292,293,Colin Salmon
293,294,Toby Stephens
294,295,Rick Yune
295,296,Bruce Willis
296,297,Will Patton
297,298,Rosario Dawson
298,299,Sebastian Roché
