,Director_id,director_name
0,1,James Cameron
1,2,Gore Verbinski
2,3,Sam Mendes
3,4,Christopher Nolan
4,5,Doug Walker
5,6,Andrew Stanton
6,7,Nathan Greno
7,8,Joss Whedon
8,9,David Yates
9,10,Zack Snyder
10,11,Bryan Singer
11,12,Marc Forster
12,13,Andrew Adamson
13,14,Rob Marshall
14,15,Barry Sonnenfeld
15,16,Peter Jackson
16,17,Marc Webb
17,18,Ridley Scott
18,19,Chris Weitz
19,20,Anthony Russo
20,21,Peter Berg
21,22,Colin Trevorrow
22,23,Sam Raimi
23,24,Shane Black
24,25,Brett Ratner
25,26,Dan Scanlon
26,27,Michael Bay
27,28,John Lasseter
28,29,Martin Campbell
29,30,Lee Unkrich
30,31,McG
31,32,James Wan
32,33,J.J. Abrams
33,34,Mike Newell
34,35,Guillermo del Toro
35,36,Steven Spielberg
36,37,Peter Sohn
37,38,Mark Andrews
38,39,Justin Lin
39,40,Roland Emmerich
40,41,Robert Zemeckis
41,42,Lana Wachowski
42,43,Pete Docter
43,44,Rob Letterman
44,45,Jon Favreau
45,46,Martin Scorsese
46,47,Rob Cohen
47,48,David Ayer
48,49,Tom Shadyac
49,50,Doug Liman
50,51,Kevin Reynolds
51,52,Stephen Sommers
52,53,Rupert Sanders
53,54,Robert Stromberg
54,55,Matt Reeves
55,56,Carl Rinsch
56,57,Mike Mitchell
57,58,Brad Bird
58,59,Don Hall
59,60,Rich Moore
60,61,Dean DeBlois
61,62,Jonathan Mostow
62,63,James Gunn
63,64,David Fincher
64,65,Matthew Vaughn
65,66,Francis Lawrence
66,67,Jon Turteltaub
67,68,Wolfgang Petersen
68,69,James Bobin
69,70,Chris Miller
70,71,Duncan Jones
71,72,Alan Taylor
72,73,Michael Apted
73,74,Oliver Stone
74,75,Tim Burton
75,76,Eric Darnell
76,77,Shawn Levy
77,78,Gavin Hood
78,79,Chris Buck
79,80,George Miller
80,81,Ron Howard
81,82,Kenneth Branagh
82,83,Byron Howard
83,84,Hoyt Yeatman
84,85,Jonathan Liebesman
85,86,Christopher McQuarrie
86,87,Joe Johnston
87,88,Steve Hickner
88,89,Jennifer Yuh Nelson
89,90,M. Night Shyamalan
90,91,Simon Wells
91,92,David Bowers
92,93,Rob Minkoff
93,94,Lee Tamahori
94,95,Alessandro Carloni
95,96,Peter Ramsey
96,97,Dean Parisot
97,98,Edward Zwick
98,99,Alex Proyas
99,100,Richard Donner
100,101,Ang Lee
101,102,Jon M. Chu
102,103,Breck Eisner
103,104,Hironobu Sakaguchi
104,105,Peter Weir
105,106,Louis Leterrier
106,107,
107,108,Alejandro G. Iñárritu
108,109,David Soren
109,110,Paul Greengrass
110,111,Mark Osborne
111,112,Peyton Reed
112,113,Bill Condon
113,114,Phillip Noyce
114,115,Darren Aronofsky
115,116,Alfonso Cuarón
116,117,Baz Luhrmann
117,118,Eric Leighton
118,119,Matt Birch
119,120,Tom McGrath
120,121,Chris Columbus
